"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Luca Caputi","9-10","PIT/ TOR","L","23","270.47","2","6","8","5","1.77","1.11","7.11","1.58","277","282","-5","49.55","-1.65","10","10","--","10.9","11.39","-0.49","48.9","-0.48","5","3","-2","53","11.76","2.7","0.6","6.9","100.44","54.35","25.9","30.19","53.21","28.99","49.58"
"Luca Sbisa","9-10","ANA","D","8","85.35","--","--","--","--","--","--","-0.88","-0.62","59","83","-24","41.55","-2.79","1","1","--","2.15","3.6","-1.45","37.39","-3.87","2","1","-1","12","8.44","0.18","0.13","--","101.29","60.53","25.92","26.21","46.66","27.64","49.32"
"Lukas Krajicek","9-10","T.B/ PHI","D","50","728.33","1","2","3","2","0.25","0.16","1.7","0.14","625","705","-80","46.99","-4.06","19","28","-9","27.63","29.89","-2.26","48.04","-2.09","11","5","-6","71","5.85","1.29","0.11","2.5","98.22","46.35","32.27","27.79","49.25","28.99","49.6"
"Luke Schenn","9-10","TOR","D","79","1118.62","5","12","17","10","0.91","0.54","23.43","1.26","1123","1089","34","50.77","-3.02","52","52","--","44.43","42.14","2.29","51.32","-2.86","14","13","-1","208","11.16","3.44","0.18","6.17","99.73","48.5","30.75","27.46","52.94","28.65","49.4"
"Macgregor Sharp","9-10","ANA","C","8","33.32","--","--","--","--","--","--","-0.13","-0.23","22","37","-15","37.29","-11.94","--","--","--","0.71","1.65","-0.94","30.08","-16.96","--","1","1","9","16.21","0.48","0.86","--","100","64.29","8.97","24.06","44.38","26.23","50.34"
"Maksim Mayorov","9-10","CBJ","R","4","27.5","--","--","--","--","--","--","-0.28","-0.61","20","31","-11","39.22","-3.16","--","--","--","1.35","0.97","0.38","58.19","20.11","--","--","--","4","8.73","0.24","0.52","--","100","52.94","15.28","26.95","48.31","28.52","47.68"
"Manny Malhotra","9-10","S.J","C","71","815.22","11","11","22","17","1.62","1.25","30.59","2.25","750","653","97","53.46","3.04","37","19","18","30.88","26.69","4.19","53.64","2.18","11","5","-6","167","12.29","7.62","0.56","12.36","104.34","45.72","25.05","28.85","50.36","28.95","49.72"
"Marc-andre Bergeron","9-10","MTL","D","60","678.93","4","5","9","5","0.8","0.44","8.47","0.75","611","683","-72","47.22","0.92","21","25","-4","22.68","28.62","-5.94","44.21","-1.55","7","4","-3","146","12.9","3.78","0.33","5.97","100.23","53.62","23.9","27.21","45.67","28.08","49.91"
"Marc-andre Cliche","9-10","L.A","R","1","6.2","--","--","--","--","--","--","0.28","2.71","5","4","1","55.56","13.56","1","--","1","0.34","0.09","0.25","79.07","34.68","--","--","--","--","--","--","--","--","133.33","--","13.1","26.69","48.67","29.9","48.06"
"Marc-edouard Vlasic","9-10","S.J","D","64","1036.35","2","10","12","6","0.69","0.35","20.05","1.16","1033","1000","33","50.81","-0.16","48","29","19","46.83","39.95","6.88","53.96","1.72","4","8","4","125","7.24","2.7","0.16","4.35","103.22","43.26","35.3","28.21","50.8","29.34","49.88"
"Marcel Goc","9-10","NSH","C","73","905.62","12","16","28","18","1.86","1.19","35.6","2.36","859","747","112","53.49","3.21","41","31","10","32.39","28.79","3.6","52.94","2.88","6","8","2","188","12.46","8.82","0.58","11.11","101.46","37.69","25.72","29.35","50.8","28.77","49.82"
"Marc Methot","9-10","CBJ","D","59","923.62","2","4","6","4","0.39","0.26","2.73","0.18","714","806","-92","46.97","-0.98","35","44","-9","27.64","32.02","-4.38","46.33","-2.19","9","4","-5","85","5.52","1.94","0.13","5.13","98.59","44.35","34.58","27.75","48.1","29.19","50.32"
"Marco Sturm","9-10","BOS","L","76","941.8","15","6","21","19","1.34","1.21","36.27","2.31","942","799","143","54.11","2.39","35","27","8","34.47","30.09","4.38","53.39","2.01","10","12","2","241","15.35","11.24","0.72","9.87","100.91","52.34","26.06","30.94","52.56","29.87","49.84"
"Marc Pouliot","9-10","EDM","C","35","374.1","6","7","13","9","2.09","1.44","7.38","1.18","322","428","-106","42.93","0.09","15","16","-1","13.14","17.95","-4.81","42.26","-0.71","8","10","2","83","13.31","3.94","0.63","11.76","100.89","51.31","23.28","28.24","43.7","28","49.41"
"Marc Savard","9-10","BOS","C","41","544.03","4","12","16","13","1.76","1.43","19.11","2.11","506","482","24","51.21","-0.66","19","14","5","17.28","17.42","-0.14","49.8","-0.89","4","11","7","114","12.57","4.66","0.51","5.97","102.06","51.07","28.37","29.7","52.25","29.22","49.45"
"Marc Staal","9-10","NYR","D","82","1443.33","6","15","21","10","0.87","0.42","17.2","0.72","1232","1329","-97","48.11","-2.59","53","45","8","53.04","56.75","-3.71","48.31","-1.57","16","9","-7","146","6.07","3.41","0.14","9.09","101.7","44.76","38.49","29.28","50.72","29.92","50.25"
"Marek Svatos","9-10","COL","R","54","492.97","4","2","6","6","0.73","0.73","5.53","0.67","403","440","-37","47.81","4.62","11","21","-10","15.38","17.42","-2.04","46.89","0.27","15","12","-3","102","12.41","5.2","0.63","6.78","96.37","54.37","19.7","29.84","43.93","28.94","49.89"
"Marek Zidlicky","9-10","MIN","D","78","1277.08","2","14","16","8","0.75","0.38","12.53","0.59","1048","1142","-94","47.85","0.34","48","54","-6","39.09","40.44","-1.35","49.15","-0.38","19","11","-8","130","6.11","3.03","0.14","3.51","99.42","45.1","35.94","28.6","48.27","29.44","50.16"
"Marian Gaborik","9-10","NYR","R","76","1158.52","26","30","56","49","2.9","2.54","59.7","3.09","1114","1070","44","51.01","1.46","65","37","28","53.29","47.88","5.41","52.67","4.26","13","12","-1","301","15.59","18.63","0.96","14.86","104.31","57.99","33.4","31.8","49.81","30.01","50.08"
"Marian Hossa","9-10","CHI","R","57","775.22","13","16","29","23","2.24","1.78","46.9","3.63","836","554","282","60.14","4.94","39","25","14","37.45","22.12","15.33","62.87","8.5","7","6","-1","224","17.34","11.33","0.88","9.42","100.56","62.05","28.58","31.26","54.38","29.53","50.15"
"Mario Bliznak","9-10","VAN","C","2","17.03","--","--","--","--","--","--","-0.68","-2.4","10","21","-11","32.26","-26.7","--","2","-2","0.28","1.2","-0.92","18.92","-43.63","--","--","--","1","3.52","0.07","0.25","--","83.33","38.46","17.11","27.99","49.04","24.69","43.25"
"Mark Eaton","9-10","PIT","D","78","1177.73","3","9","12","6","0.61","0.31","15.22","0.78","1042","1027","15","50.36","-2.72","46","49","-3","42.85","38.73","4.12","52.53","-0.27","9","3","-6","113","5.76","2.12","0.11","6.38","98.65","54.75","33.57","28.24","53.2","29.15","49.6"
"Mark Fistric","9-10","DAL","D","66","900.03","1","7","8","2","0.53","0.13","14.43","0.96","766","757","9","50.3","2.72","40","16","24","29.64","28.95","0.69","50.59","3.05","23","14","-9","88","5.87","1.45","0.1","2.33","105.32","55.23","29.37","27.67","47.56","28.38","49.36"
"Mark Flood","9-10","NYI","D","6","70.15","--","1","1","--","0.86","--","0.2","0.17","69","78","-9","46.94","-7.51","4","7","-3","2.61","3.19","-0.58","45","-12.71","--","--","--","10","8.55","0.16","0.14","--","93.2","37.84","25.14","27.54","47.87","28.52","49.23"
"Mark Fraser","9-10","N.J","D","61","728.35","3","2","5","5","0.41","0.41","6.5","0.54","570","579","-9","49.61","-1.85","22","21","1","23.66","23.37","0.29","50.31","-2.16","12","5","-7","68","5.6","1.58","0.13","12.5","100.41","65.33","24.71","27.26","50.85","27.9","49.66"
"Mark Giordano","9-10","CGY","D","82","1257.23","6","10","16","10","0.76","0.48","31.98","1.53","1177","977","200","54.64","4.08","48","31","17","44.42","34.78","9.64","56.09","8.02","23","20","-3","167","7.97","3.27","0.16","8.7","102.24","51.85","32.99","28.01","50.64","28.84","49.48"
"Mark Letestu","9-10","PIT","C","10","89.58","1","--","1","1","0.67","0.67","1.99","1.33","97","78","19","55.43","6.52","2","5","-3","3.19","2.66","0.53","54.53","3.27","1","1","--","23","15.41","1.06","0.71","11.11","91.39","58.14","19.62","28.76","51.73","28.4","50.12"
"Mark Mancari","9-10","BUF","R","6","69.73","1","1","2","2","1.72","1.72","4.62","3.98","85","49","36","63.43","15.42","3","--","3","3.66","1.97","1.69","65.01","17.51","2","--","-2","25","21.51","1.31","1.13","6.67","106.82","50","24.46","29.57","49.46","29.04","49.56"
"Mark Parrish","9-10","T.B","R","16","186.33","--","1","1","1","0.32","0.32","-0.76","-0.24","126","164","-38","43.45","-4.1","3","7","-4","5.23","5.81","-0.58","47.37","1.82","1","1","--","22","7.08","0.64","0.21","--","95.8","29.59","25.8","28.33","46.03","29.26","50.91"
"Mark Popovic","9-10","ATL","D","37","471.72","2","2","4","4","0.51","0.51","6.67","0.85","425","434","-9","49.48","4.02","19","21","-2","16.98","18.3","-1.32","48.13","4.27","3","4","1","66","8.39","1.44","0.18","8.7","99.98","47.6","28.38","27.16","48.78","28.62","49.89"
"Mark Recchi","9-10","BOS","R","81","1078.45","7","18","25","16","1.39","0.89","36.82","2.05","1070","849","221","55.76","4.27","37","39","-2","41.18","32.16","9.02","56.15","5.42","11","16","5","175","9.74","9.27","0.52","6.48","97.58","52.26","27.94","30.58","50.95","29.92","49.85"
"Mark Streit","9-10","NYI","D","81","1385.63","1","20","21","15","0.91","0.65","19.3","0.84","1300","1377","-77","48.56","1.39","60","64","-4","58.72","60.47","-1.75","49.27","-0.42","20","9","-11","192","8.31","5.22","0.23","1.19","99.6","47.76","37.67","27.78","47.37","29.33","50.09"
"Mark Stuart","9-10","BOS","D","56","848.22","1","3","4","3","0.28","0.21","6.65","0.47","697","724","-27","49.05","-6.2","27","30","-3","26.89","28.04","-1.15","48.95","-6.1","25","14","-11","113","7.99","1.74","0.12","2","99.06","52.94","31.69","27.25","53.01","28.47","49.42"
"Martin Erat","9-10","NSH","R","74","993.78","15","14","29","26","1.75","1.57","37.59","2.27","1006","844","162","54.38","4.71","42","48","-6","41.41","38.41","3","51.88","1.71","18","14","-4","197","11.89","9.67","0.58","12.4","98.13","45.28","28.12","30.48","50.23","29.56","50.35"
"Martin Hanzal","9-10","ARI","C","81","1059.12","9","15","24","16","1.36","0.91","29.61","1.68","977","882","95","52.56","1.15","34","33","1","36.55","33.8","2.75","51.95","0.45","24","16","-8","200","11.33","9.17","0.52","7.96","99.71","46.79","29","29.95","51.96","29.73","50.01"
"Martin Havlat","9-10","MIN","R","73","973.8","12","18","30","22","1.85","1.36","24.61","1.52","810","899","-89","47.4","-0.46","40","43","-3","33.66","32.47","1.19","50.9","2.01","10","12","2","182","11.21","8.74","0.54","11.21","100.11","45.51","29.12","29.55","48.47","29.05","50"
"Martin Skoula","9-10","PIT/ N.J","D","52","791.83","2","8","10","4","0.76","0.3","9.95","0.75","647","679","-32","48.79","-2.14","28","26","2","26.65","27.06","-0.41","49.62","0.05","4","2","-2","67","5.08","1.18","0.09","6.67","100.72","53.72","32.48","27.56","51.69","28.69","49.28"
"Martin St. Louis","9-10","T.B","R","82","1185.75","17","32","49","34","2.48","1.72","48.83","2.47","1104","1137","-33","49.26","2.53","60","56","4","44.9","46.67","-1.77","49.03","3.39","4","24","20","273","13.81","12.96","0.66","10.12","100.58","57.87","32.34","30.17","45.88","29.66","49.7"
"Martin St Pierre","9-10","OTT","C","3","21.87","--","--","--","--","--","--","-0.42","-1.15","15","17","-2","46.88","-11.05","--","2","-2","0.44","0.51","-0.07","46.32","-10.41","--","--","--","1","2.74","--","--","--","80","62.5","16.13","25.44","51.82","27.49","47.09"
"Marty Reasoner","9-10","ATL","C","80","727.73","3","10","13","10","1.07","0.82","10.62","0.88","596","685","-89","46.53","-2.36","23","32","-9","21.89","28.92","-7.03","43.08","-2.84","8","9","1","144","11.87","5.69","0.47","4","98.47","40.97","20.14","27.59","48.2","28.52","49.81"
"Mason Raymond","9-10","VAN","L","82","1060.78","16","15","31","27","1.75","1.53","48.38","2.74","1078","855","223","55.77","5.8","46","47","-1","45.49","37.11","8.38","55.07","5.15","15","31","16","252","14.25","13.22","0.75","9.82","97.9","49.55","28.9","30.87","50.71","29.51","49.82"
"Mathieu Carle","9-10","MTL","D","3","39.03","--","--","--","--","--","--","0.8","1.23","39","29","10","57.35","4.35","1","--","1","1.25","1.03","0.22","54.82","9.93","1","--","-1","4","6.15","0.08","0.12","--","105.56","83.33","27.1","27.53","46.42","27.18","49.46"
"Mathieu Darche","9-10","MTL","L","29","291.53","5","5","10","8","2.06","1.65","10.31","2.12","249","267","-18","48.26","0.45","14","10","4","10.59","11.29","-0.7","48.4","0.84","--","1","1","57","11.73","3.35","0.69","12.82","103.22","57.78","21.17","28.82","45.59","28.38","50.17"
"Mathieu Perreault","9-10","WSH","C","21","222.02","3","3","6","6","1.62","1.62","7.12","1.92","198","197","1","50.13","-4.39","9","7","2","8.57","8.65","-0.08","49.77","-1.62","3","6","3","35","9.46","2.2","0.59","12","101.76","57.14","22.47","28.38","51.63","27.89","48.63"
"Mathieu Roy","9-10","CBJ","D","30","452.03","--","7","7","1","0.93","0.13","6.84","0.91","377","390","-13","49.15","0.23","15","18","-3","17.25","15.33","1.92","52.95","8.15","6","4","-2","65","8.63","1.01","0.13","--","98.05","54.23","33.08","27.94","48.04","28.62","49.61"
"Mathieu Schneider","9-10","VAN/ ARI","D","25","332.15","1","3","4","3","0.72","0.54","5.58","1.01","287","270","17","51.53","0.32","15","10","5","12.06","11.41","0.65","51.38","-2.01","7","--","-7","39","7.05","0.7","0.13","9.09","103.3","60","29.17","27.97","51.13","28.02","49.2"
"Matt Beleskey","9-10","ANA","L","60","728.9","11","7","18","16","1.48","1.32","15.62","1.29","604","699","-95","46.35","-2.29","24","33","-9","25.77","31.37","-5.6","45.1","-1.72","10","9","-1","183","15.06","7.73","0.64","9.82","98.16","48.9","26.12","30.66","47.17","29.19","50.08"
"Matt Bradley","9-10","WSH","R","77","728.47","9","14","23","18","1.89","1.48","28.25","2.33","686","605","81","53.14","0.31","28","25","3","25.81","24.3","1.51","51.51","0.9","7","12","5","175","14.41","7.16","0.59","10.47","100.71","48.91","20.44","27.14","50.38","28.35","49.38"
"Matt Carkner","9-10","OTT","D","81","1155.05","2","9","11","6","0.57","0.31","18.57","0.96","1019","958","61","51.54","-0.52","47","49","-2","44.52","37.88","6.64","54.03","1.45","50","37","-13","154","8","3.32","0.17","2.41","98.31","56.54","30.76","26.54","51.66","28.18","49.38"
"Matt Carle","9-10","PHI","D","80","1389.97","4","12","16","12","0.69","0.52","30","1.29","1327","1228","99","51.94","1.79","63","49","14","60.39","51.73","8.66","53.86","3.26","5","6","1","189","8.16","4.25","0.18","4.35","101.12","49.16","39","28.72","49.71","29.45","49.93"
"Matt Cooke","9-10","PIT","L","78","866.62","12","12","24","19","1.66","1.32","30.02","2.08","863","759","104","53.21","1.46","45","29","16","34.26","29.51","4.75","53.72","1.8","36","26","-10","157","10.87","8.81","0.61","14.81","102.65","46.36","24.67","29.98","52.25","28.98","49.83"
"Matt Cullen","9-10","CAR/ OTT","C","80","970.1","11","18","29","20","1.79","1.24","29.94","1.85","916","891","25","50.69","0.56","40","45","-5","39.8","40.22","-0.42","49.74","2.33","10","10","--","213","13.17","11.79","0.73","9.65","99.17","50.09","27.01","29.97","49.66","29.38","49.37"
"Matt D'agostini","9-10","MTL/ STL","R","48","452.58","2","2","4","2","0.53","0.27","1.98","0.26","383","427","-44","47.28","-0.56","5","19","-14","13.87","14.78","-0.91","48.41","3.52","11","5","-6","93","12.33","3.21","0.43","3.85","94.13","48.55","20.51","28.89","46.56","28.63","49.73"
"Matt Duchene","9-10","COL","C","81","1081.52","12","18","30","24","1.66","1.33","24.66","1.37","862","1024","-162","45.71","1.25","44","40","4","39.66","42.92","-3.26","48.03","0.67","7","20","13","219","12.15","10.67","0.59","9.45","101.87","49.21","28.8","29.82","44.55","29.22","49.86"
"Matt Ellis","9-10","BUF","L","72","631.77","3","9","12","7","1.14","0.66","19.77","1.88","573","515","58","52.67","2.96","19","19","--","24.59","19.12","5.47","56.26","7.53","6","5","-1","176","16.71","7.1","0.67","2.7","99.19","47.55","19.15","28.05","48.61","28.01","49.67"
"Matt Gilroy","9-10","NYR","D","69","929.25","4","8","12","8","0.77","0.52","20.31","1.31","923","845","78","52.21","3.98","34","32","2","39.7","36.34","3.36","52.21","4.46","5","7","2","110","7.1","2.75","0.18","6.67","99.49","51.97","29.41","27.18","49.46","28.34","49.63"
"Matt Greene","9-10","L.A","D","75","1050.12","2","6","8","5","0.46","0.29","14.7","0.84","893","834","59","51.71","1.99","36","31","5","34.76","32.56","2.2","51.63","1.37","26","10","-16","142","8.11","2.44","0.14","3.7","100.38","49.74","30.47","27.59","49.53","28.78","49.75"
"Matt Halischuk","9-10","N.J","R","20","203.22","1","1","2","2","0.59","0.59","1.7","0.5","138","157","-19","46.78","-1.81","4","8","-4","5.92","5.9","0.02","50.08","2.48","1","1","--","30","8.86","1.65","0.49","4.76","96.22","60","21.02","27.75","49.99","27.85","49.41"
"Matt Hendricks","9-10","COL","C","56","439.28","7","6","13","12","1.78","1.64","7.95","1.09","306","430","-124","41.58","-1.76","15","16","-1","13.5","16.15","-2.65","45.53","-1.55","20","20","--","87","11.88","5.44","0.74","12.07","101.27","44.92","16.94","28.18","44.2","28.2","49.7"
"Matthew Corrente","9-10","N.J","D","12","103.12","--","--","--","--","--","--","1.98","1.15","91","65","26","58.33","12.81","2","2","--","4.02","1.45","2.57","73.49","27.2","5","5","--","14","8.15","0.19","0.11","--","98.53","55.56","18.38","25.74","49.95","27.7","50.16"
"Matthew Lombardi","9-10","ARI","C","78","991.55","15","21","36","28","2.18","1.69","40.7","2.46","939","880","59","51.62","-0.42","55","38","17","40.3","35.24","5.06","53.35","2.15","9","11","2","200","12.1","10.43","0.63","12.2","102.44","57.68","28.26","30.16","52.1","29.31","49.59"
"Matt Hunwick","9-10","BOS","D","76","1160.65","4","7","11","6","0.57","0.31","11.41","0.59","1023","999","24","50.59","-2.21","34","46","-12","38.34","39.94","-1.6","48.98","-3.62","11","1","-10","125","6.46","2.7","0.14","8.16","98.5","52.58","32.03","27.15","52.88","28.39","49.55"
"Mattias Ohlund","9-10","T.B","D","67","1113.83","--","11","11","6","0.59","0.32","3.25","0.18","893","1063","-170","45.65","-3.46","39","46","-7","37.45","44.24","-6.79","45.84","-2.33","21","11","-10","99","5.33","2.16","0.12","--","99.57","44.37","37.52","28.34","48.12","29.54","49.88"
"Mattias Ritola","9-10","DET","C","5","46.33","--","--","--","--","--","--","0.87","1.13","32","31","1","50.79","-3.08","--","--","--","1.04","1.07","-0.03","49.29","-4.77","--","1","1","10","12.95","0.27","0.35","--","100","63.33","21.16","27.35","51.45","28.58","49.13"
"Matt Lashoff","9-10","T.B","D","5","43.48","--","--","--","--","--","--","-1.4","-1.93","26","42","-16","38.24","-15.54","--","2","-2","1.06","1.29","-0.23","45.11","-9.96","4","--","-4","2","2.76","0.04","0.06","--","90.48","42.86","19.48","26.75","47.8","26.04","46.2"
"Matt Martin","9-10","NYI","L","5","45.22","--","--","--","--","--","--","0.4","0.53","45","40","5","52.94","5.13","1","2","-1","2.11","2.72","-0.61","43.69","-11.35","4","3","-1","6","7.96","0.22","0.29","--","95.01","40","21.14","30.03","48.53","29.49","51.21"
"Matt Moulson","9-10","NYI","L","81","1040.82","21","10","31","26","1.79","1.5","37.15","2.14","1003","979","24","50.61","4.04","46","41","5","44.6","43.43","1.17","50.66","1.61","11","8","-3","249","14.35","13.5","0.78","13.91","100.57","52.63","28.29","30.3","47.15","29.5","50.11"
"Matt Niskanen","9-10","DAL","D","73","1042.62","3","5","8","5","0.46","0.29","16.02","0.92","931","847","84","52.36","5.91","30","35","-5","33.85","33.15","0.7","50.52","2.63","7","3","-4","154","8.86","2.74","0.16","4.62","98.38","55.17","30.71","27.3","46.39","28.23","49.61"
"Matt Pettinger","9-10","VAN","L","9","68.02","1","2","3","3","2.65","2.65","3.15","2.78","65","67","-2","49.24","0.34","4","1","3","2.67","2.61","0.06","50.57","3.51","2","2","--","13","11.47","0.9","0.79","12.5","108.73","44.12","16.89","26.71","47.79","27.65","49.23"
"Matt Smaby","9-10","T.B","D","33","377.03","--","1","1","1","0.16","0.16","-1.12","-0.18","313","375","-62","45.49","-0.66","13","18","-5","13.6","15.18","-1.58","47.26","-0.2","9","3","-6","36","5.73","0.69","0.11","--","97.55","47.59","25.54","27.55","47.97","28.77","50.06"
"Matt Stajan","9-10","TOR/ CGY","C","82","1148.47","11","27","38","26","1.99","1.36","43.43","2.27","1212","1052","160","53.53","0.3","57","55","2","51.53","41.31","10.22","55.5","1.51","11","15","4","154","8.05","12.3","0.64","11.46","99.04","54.55","29.95","31.52","52.63","29.61","49.91"
"Matt Walker","9-10","T.B","D","66","888.95","2","3","5","4","0.34","0.27","4.8","0.32","697","788","-91","46.94","-0.72","27","34","-7","27.17","33.34","-6.17","44.9","-1.47","24","16","-8","131","8.84","1.92","0.13","3.7","98.94","38.37","30.09","26.85","47.33","28.52","49.6"
"Maxim Afinogenov","9-10","ATL","R","82","1090.47","15","24","39","30","2.15","1.65","32.25","1.77","972","1042","-70","48.26","-0.46","52","63","-11","37.45","48.14","-10.69","43.76","-2.69","19","22","3","230","12.66","10.21","0.56","12.1","99.8","47.91","29.45","30.88","49.63","29.48","49.83"
"Maxime Fortunus","9-10","DAL","D","8","113.02","--","--","--","--","--","--","-1.23","-0.65","94","105","-11","47.24","-2.57","3","9","-6","2.73","5.28","-2.55","34.08","-19.45","2","--","-2","13","6.9","0.2","0.11","--","92.32","66.67","29.53","27.4","48.05","28.72","49.89"
"Maxim Lapierre","9-10","MTL","C","76","856.7","7","7","14","12","0.98","0.84","5.28","0.37","653","862","-209","43.1","-5.32","19","34","-15","24.25","34.27","-10.02","41.44","-5.82","24","24","--","162","11.35","7.85","0.55","7.87","98.63","48.23","24.02","28.2","46.72","28.31","50.16"
"Maxim Noreau","9-10","MIN","D","1","4.87","--","--","--","--","--","--","0.05","0.62","3","2","1","60","27.27","--","--","--","0.12","0.09","0.03","57.14","24.71","--","--","--","--","--","--","--","--","100","66.67","11.12","23.52","45.15","28.2","51.62"
"Max Pacioretty","9-10","MTL","L","52","619.68","3","8","11","3","1.07","0.29","10","0.97","550","600","-50","47.83","2.39","14","19","-5","19.51","22.44","-2.93","46.51","2.56","10","11","1","144","13.94","5.33","0.52","4.29","99.08","44.48","25.53","28.58","45.6","28.68","50.36"
"Max Talbot","9-10","PIT","C","45","435.58","2","4","6","5","0.83","0.69","5.1","0.7","381","393","-12","49.22","-5.11","16","25","-9","14.68","16.21","-1.53","47.52","-5.84","8","5","-3","69","9.5","3.32","0.46","5.26","95.31","56.77","21.54","29.46","52.21","28.67","49.36"
"Michael Blunden","9-10","CBJ","R","9","60.32","--","--","--","--","--","--","-0.42","-0.42","37","49","-12","43.02","-9.05","2","1","1","1.44","1.72","-0.28","45.57","-11.16","6","5","-1","9","8.95","0.23","0.23","--","107.08","59.26","14.61","27.89","49.19","28.21","48.62"
"Michael Del Zotto","9-10","NYR","D","80","1110.22","5","8","13","7","0.7","0.38","14.57","0.79","1074","1068","6","50.14","0.62","45","53","-8","47.55","52.19","-4.64","47.67","-2.2","11","8","-3","128","6.92","2.61","0.14","10.64","98.81","57.02","30.4","28.73","49.28","28.75","49.51"
"Michael Frolik","9-10","FLA","C/R","82","1117.25","14","14","28","17","1.5","0.91","28.08","1.51","1022","1099","-77","48.18","5.19","43","45","-2","36.7","43.61","-6.91","45.7","-0.21","13","9","-4","279","14.98","10.85","0.58","8.33","100.21","43.72","29.32","31.46","44.27","29.49","50.12"
"Michael Grabner","9-10","VAN","R","20","226.23","3","3","6","5","1.59","1.33","11.8","3.13","281","208","73","57.46","8.08","9","7","2","12.04","9.25","2.79","56.55","8.65","4","2","-2","85","22.54","4.73","1.25","5.77","99.82","48.76","25.61","31.35","52.16","29.61","49.67"
"Michael Grier","9-10","BUF","R","58","724.5","7","9","16","10","1.33","0.83","14.8","1.23","596","639","-43","48.26","-2.36","24","29","-5","24.58","24.99","-0.41","49.59","-0.74","3","4","1","138","11.43","6.77","0.56","8.86","98.93","49.43","26.92","29.06","50.36","28.67","50.23"
"Michael Komisarek","9-10","TOR","D","17","258.63","--","--","--","--","--","--","0.7","0.16","256","250","6","50.59","-3.8","3","11","-8","10.79","9.53","1.26","53.1","2.66","6","3","-3","40","9.28","0.85","0.2","--","93.02","53.19","34.3","28.29","53.3","29.19","49.45"
"Michael Rupp","9-10","PIT","C","80","705.67","10","6","16","13","1.36","1.11","15.56","1.32","581","617","-36","48.5","-4.12","29","27","2","21.87","24.57","-2.7","47.09","-6.28","31","25","-6","140","11.9","5.83","0.5","11.9","100.7","52.22","19.62","28.47","51.57","28.16","49.5"
"Michael Ryder","9-10","BOS","R","82","1026.13","11","12","23","19","1.34","1.11","33.83","1.98","972","880","92","52.48","-0.19","38","28","10","38.22","34.36","3.86","52.66","0.63","10","9","-1","243","14.21","12.12","0.71","7.64","101.75","50.18","26.25","29.82","52.16","29.16","49.84"
"Michal Handzus","9-10","L.A","C","81","993.63","10","14","24","16","1.45","0.97","16.67","1.01","732","875","-143","45.55","-6.83","38","37","1","30.01","34.37","-4.36","46.61","-6.4","12","7","-5","128","7.73","7.8","0.47","12.5","101.52","45.64","26.77","30.29","51.88","29.21","50.09"
"Michal Repik","9-10","FLA","R","19","153.43","3","1","4","4","1.56","1.56","4.13","1.62","125","144","-19","46.47","0.19","4","4","--","5.07","5.41","-0.34","48.38","-2.25","3","4","1","35","13.69","1.63","0.64","13.04","99.75","50","17.47","28.74","43.81","28.51","49.74"
"Michal Rozsival","9-10","NYR","D","82","1350.92","2","13","15","5","0.67","0.22","15.96","0.71","1177","1189","-12","49.75","0.02","50","46","4","51.96","53.42","-1.46","49.31","-0.02","27","13","-14","135","6","2.85","0.13","3.45","101.17","49.57","36.03","28.63","49.54","29.19","49.86"
"Micheal Haley","9-10","NYI","C","2","15.22","--","--","--","--","--","--","-1.28","-5.05","8","18","-10","30.77","-17.51","--","3","-3","0.18","2.66","-2.48","6.34","-39.68","3","1","-2","3","11.83","--","--","--","75","66.67","19.07","27.68","47.26","29.94","52.38"
"Mikael Backlund","9-10","CGY","C","23","253.88","1","9","10","5","2.36","1.18","12.89","3.05","265","201","64","56.87","4.89","13","8","5","10.66","8.56","2.1","55.46","2.01","4","--","-4","78","18.43","2.96","0.7","2.5","102.43","57.98","23.44","30.21","51.22","28.42","49.16"
"Mikael Samuelsson","9-10","VAN","R","74","984.23","21","12","33","30","2.01","1.83","47.92","2.92","988","757","231","56.62","6.88","48","40","8","38.76","30.35","8.41","56.08","5.6","23","14","-9","278","16.95","11.53","0.7","13.04","100.08","49.9","29.65","31.28","51.08","29.48","49.66"
"Mika Pyorala","9-10","PHI","C","36","401.95","2","2","4","3","0.6","0.45","8.54","1.27","346","290","56","54.4","2.28","11","12","-1","14.11","11.9","2.21","54.25","2.42","5","5","--","67","10","3.69","0.55","5.41","98.3","50.24","25.15","29.25","49.07","28.9","50.16"
"Mike Blunden","9-10","CBJ","R","31","249.93","2","1","3","3","0.72","0.72","2.38","0.57","159","198","-39","44.54","-2.1","6","5","1","7.44","6.57","0.87","53.1","7.07","10","6","-4","43","10.32","3.36","0.81","5.71","101.3","43.31","18.03","27.85","48.9","27.89","50.75"
"Mike Brown","9-10","ANA","R","75","541.5","5","--","5","5","0.55","0.55","2.6","0.29","403","551","-148","42.24","-5.81","15","16","-1","16.1","21.88","-5.78","42.39","-4.4","25","29","4","114","12.63","5.89","0.65","7.04","101.15","60.16","15.75","26.12","46.82","27.23","49.82"
